"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Collaborative and competitive strategies for agile scrum development","R. Ramanujam; I. Lee","School of Business (IT), James Cook University, Cairns, QLD 4870, Australia; School of Business (IT), James Cook University, Cairns, QLD 4870, Australia","The 7th International Conference on Networked Computing and Advanced Information Management","28 Jul 2011","2011","","","123","127","Agile scrum software development has attracted a great deal of attention in recent years due to its flexibility, responsiveness and reliability. This article extends it to multi-vendor competing situations, and introduces a collaborative framework for agile scrum development. A case study confirms the usefulness and applicability of the proposed framework.","","978-89-88678-37-4","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5967530","","Programming;Software;Collaboration;Companies;Planning;Portals","groupware;software prototyping","agile scrum software development;multi-vendor competing situations;collaborative framework","","","","9","","28 Jul 2011","","","IEEE","IEEE Conferences"
"Strategies for web application development methodologies","S. R. Kumar; R. Sharma; K. Gupta","CSE Department, Amity University, Greater Noida, India; IT Department, Amity University, Greater Noida, India; School of computing science and engineering, Galgotias University, Greater Noida, India","2016 International Conference on Computing, Communication and Automation (ICCCA)","16 Jan 2017","2016","","","160","165","Web applications have grown very unexpectedly in these recent years but due to difference between web applications and software applications, their development methodologies differ in many ways. The distinction between these two different types of applications acquire for introduction of development methodologies dedicated to web applications. The thesis work represents various development approaches and methodologies proposed specially for web applications. Agile, object oriented, UML based etc. are some example of approaches to be used for inventing techniques for web application development. Appendixes contribute to the thesis work representing implementation of Agile based and UML based web application development techniques.","","978-1-5090-1666-2","10.1109/CCAA.2016.7813710","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7813710","XP (Extreme Programming);WCML (Web Mark Up Language);CORBA (Common Object Request Broker Architecture);AWDWF (Agile Web Development with Web Framework)","Object oriented modeling;Unified modeling language;Programming;Software;Computer architecture;Servers;XML","Internet;object-oriented methods;software prototyping;Unified Modeling Language","Web application development methodologies;software applications;agile Web development;UML;extreme programming","","","","10","","16 Jan 2017","","","IEEE","IEEE Conferences"
"The projection of the specific practices of the third level of CMMI model in agile methods: Scrum, XP and Kanban","Z. Bougroun; A. Zeaaraoui; T. Bouchentouf","(Information System and Software Quality) SIQL Team group (National School of Applied Sciences - Oujda) ENSAO, Mohammed First University, Oujda postal 60000, Morocco; (Information System and Software Quality) SIQL Team group (National School of Applied Sciences - Oujda) ENSAO, Mohammed First University, Oujda postal 60000, Morocco; (Information System and Software Quality) SIQL Team group (National School of Applied Sciences - Oujda) ENSAO, Mohammed First University, Oujda postal 60000, Morocco","2014 Third IEEE International Colloquium in Information Science and Technology (CIST)","22 Jan 2015","2014","","","174","179","Most large companies have adopted CMMI in order to improve software quality, reduce the budget, and have customer satisfaction. But since the advent of agile methods, companies are looking to integrate these methods for software development. To adopt these methods in the project we need to know if they cover a part of CMMI. In this paper we present the CMMI model and Scrum XP and Kanban methods, than we make the mapping between these methods and CMMI level 3. The merge of the three methods covers 58% of process quality of the CMMI model level three.","2327-1884","978-1-4799-5979-2","10.1109/CIST.2014.7016614","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7016614","CMMI;Scrum;XP;Kanban;agile methods","Decision support systems;Training;Project management;Risk management;Educational institutions;Planning","Capability Maturity Model;software prototyping;software quality","CMMI model;agile methods;Scrum;XP;Kanban;software quality;customer satisfaction;software development;Capability Maturity Model Integration","","9","","23","","22 Jan 2015","","","IEEE","IEEE Conferences"
"Bottom-up Modeling for a Software Product Line: An Experience Report on Agile Modeling of Governmental Mobile Networks","P. Pohjalainen","Dept. of Comput. Sci., Univ. of Helsinki, Helsinki, Finland","2011 15th International Software Product Line Conference","29 Sep 2011","2011","","","323","332","Agile software development has been gaining increasing attention during the last decade. In agile process models, attention is paid to building the ability to respond to change. This is problematic in view of product line engineering and formal modeling, since traditionally these two require heavy up-front planning. We are presenting our experiences on combining these three in an industrial setting of building a telecommunication network provisioning product line. We avoided the up-front planning by building our modeling toolset in a bottom-up way and improving the toolset whenever required by the needs of the on-going iteration.","","978-1-4577-1029-2","10.1109/SPLC.2011.48","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6030075","feature modeling;telecommunication service provisioning;agile software development","Unified modeling language;Object oriented modeling;Software;Subscriptions;Java;Programming;Mobile communication","mobile radio;product development;software prototyping;software reusability;telecommunication computing","software product line;bottom up modeling;governmental mobile networks;agile software development;agile process models;product line engineering;formal modeling;industrial setting;telecommunication network","","7","","40","","29 Sep 2011","","","IEEE","IEEE Conferences"
"Study and practice of import Scrum agile software development","H. Guang-yong","Nanjing Institute of Industry Technology, Nanjing 210046, China","2011 IEEE 3rd International Conference on Communication Software and Networks","8 Sep 2011","2011","","","217","220","In recent years, Scrum has become an important software process method of the software industry. During the process of project team developing vehicle spare parts management system, import Scrum agile software development using Visual Studio 2010 as the Scrum process management templates. Adhering to the process of implementing Scrum principles, introduced before the team more successful technology practices, continuously expand and improve Scrum, form team custom Scrum template. By Scrum implementation, increases team productivity, product quality, final Team success of restructuring.","","978-1-61284-486-2","10.1109/ICCSN.2011.6013698","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6013698","Vehicle spare parts management system;Scrum;Visual Studio 2010;implementingScrum","Software;Programming;Productivity;Process control;Planning;Visualization;Industries","automotive components;maintenance engineering;mechanical engineering computing;software prototyping","Scrum agile software development;software industry;team developing vehicle spare parts management system;Visual Studio;Scrum process management templates;team custom Scrum template","","5","","13","","8 Sep 2011","","","IEEE","IEEE Conferences"
"Software Test Automation practices in agile development environment: An industry experience report","E. F. Collins; V. F. de Lucena","Nokia Institute of Technology, Manaus, AM, Brazil; Federal University of Amazonas, Manaus, Brazil","2012 7th International Workshop on Automation of Software Test (AST)","2 Jul 2012","2012","","","57","63","The increased importance of Test Automation in software engineering is very evident considering the number of companies investing in automated testing tools nowadays, with the main aim of preventing defects during the development process. Test Automation is considered an essential activity for agile methodologies being the key to speed up the quality assurance process. This paper presents empirical observations and the challenges of a test team new to agile practices and Test Automation using open source testing tools integrated in software projects that use the Scrum methodology. The results obtained showed some important issues to be discussed and the Test Automation practices collected based on the experiences and lessons learned.","","978-1-4673-1822-8","10.1109/IWAST.2012.6228991","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6228991","test automation;agile testing;testing tools;software testing","Testing;Automation;Graphical user interfaces;Software;Manuals;Business;Programming","program testing;public domain software;software prototyping;software tools","software test automation;agile development environment;industry experience report;software engineering;automated testing tool;defect prevention;quality assurance process;open source testing tool;software project;Scrum methodology","","14","1","10","","2 Jul 2012","","","IEEE","IEEE Conferences"
"Agile Development and User Experience Design Integration as an Ongoing Achievement in Practice","J. Ferreira; H. Sharp; H. Robinson","Dept. of Comput. Sci., Univ. of Calgary, Calgary, AB, Canada; Comput. Dept., Open Univ., Milton Keynes, UK; Comput. Dept., Open Univ., Milton Keynes, UK","2012 Agile Conference","13 Sep 2012","2012","","","11","20","Little is known about how Agile developers and UX designers integrate their work on a day-to-day basis. While accounts in the literature attempt to integrate Agile development and UX design by combining their processes and tools, the contradicting claims found in the accounts complicate extracting advice from such accounts. This paper reports on three ethnographically-informed field studies of the day-today practice of developers and designers in organisational settings. Our results show that integration is achieved in practice through (1) mutual awareness, (2) expectations about acceptable behaviour, (3) negotiating progress and (4) engaging with each other. Successful integration relies on practices that support and maintain these four aspects in the day-to-day work of developers and designers.","","978-1-4673-2622-3","10.1109/Agile.2012.33","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6298087","Agile development;User Experience Design;ethnographically-informed;integration;organisation","Visualization;Testing;Timing;Usability;Layout;Mobile communication","human factors;organisational aspects;software engineering","agile development integration;user experience design integration;UX design;ethnographically-informed field studies;organisational settings;mutual awareness;acceptable behaviour expectations;negotiating progress","","18","","42","","13 Sep 2012","","","IEEE","IEEE Conferences"
"Validation of Outsourcing TeamsWork on Agile Projects of Samsung R&D Institute Brazil","G. S. Lemos; M. C. de C. Costa; T. D. Borghi; P. G. Povoas","Samsung R&D Institute Brazil, Campinas, SP, Brazil; Samsung R&D Institute Brazil, Campinas, SP, Brazil; Samsung R&D Institute Brazil, Campinas, SP, Brazil; Samsung R&D Institute Brazil, Campinas, SP, Brazil","2018 IEEE/ACM 13th International Conference on Global Software Engineering (ICGSE)","6 Dec 2018","2018","","","11","15","Samsung R&D Institute Brazil (SRBR) is one of Samsung's research centers in the world in which there is research focused on software areas. SRBR teams have worked in collaboration with Samsung headquarter and outsourcing partners for producing software that aggregates value on Samsung products. SRBR has different partners with different levels of skill, maturity and that work in different contexts. For this reason, managing software development projects and guaranteeing the quality of resulting products have been challenging for SRBR. This experience report describes the process created to improve partners' management and proposes methods for tracking and improving the methods applied for validating the work delivered by outsourcing partners in order to guarantee that it meets Samsung quality requirements.","","978-1-4503-5717-3","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8560633","Outsourcing management process;acceptance testing;outsourcing development","Outsourcing;Software;Research and development;Planning;Companies;Quality assurance","groupware;outsourcing;project management;research and development management;software development management;software engineering","Samsung R&D Institute Brazil;software areas;SRBR teams;outsourcing partners;Samsung products;software development projects;Samsung quality requirements;agile projects;TeamsWork outsourcing","","","","8","","6 Dec 2018","","","IEEE","IEEE Conferences"
"Adopting Industry Agile Practices in Large-scale Capstone Education","J. -G. Schneider; P. W. Eklund; K. Lee; F. Chen; A. Cain; M. Abdelrazek","School of Information Technology, Deakin University, Geelong,Geelong,Victoria; School of Information Technology, Deakin University, Geelong,Geelong,Victoria; School of Information Technology, Deakin University, Geelong,Geelong,Victoria; School of Information Technology, Deakin University, Geelong,Geelong,Victoria; School of Information Technology, Deakin University, Geelong,Geelong,Victoria; School of Information Technology, Deakin University, Geelong,Geelong,Victoria","2020 IEEE/ACM 42nd International Conference on Software Engineering: Software Engineering Education and Training (ICSE-SEET)","28 Dec 2020","2020","","","119","129","This paper presents the practice and experience in adopting an agile organizational model for a final-year capstone program in Software Engineering. The model developed is motivated by having real (and developing) software artifacts with incrementally changing team members working on a product-line. This in turn results in more sophisticated capstone student-project outcomes. The model proposed supports student mentoring and promotes, through its internal organization, leadership and personal responsibility. The students are supported by professional software engineers, up-skilling workshops, and academic supervisors who act as a personalized reporting and grading point for the team. The academic supervisors are themselves supported by a tribe leader, a faculty member who assumes overall responsibility for a product-line, and who acts as a report to an external industry client/ sponsor. This paper describes the motivation for the capstone model, its adoption, and some preliminary observations.","","978-1-4503-7124-7","","Deakin University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9291821","Software engineering education;agile software development;capstone education","Education;Software engineering;Industries;Software;Scalability;Stakeholders;Employment","computer aided instruction;computer science education;educational courses;software product lines;software prototyping;team working","academic supervisors;personalized reporting;grading point;product-line;industry agile practices;large-scale capstone education;agile organizational model;final-year capstone program;software engineering;software artifacts;incrementally changing team members;sophisticated capstone student-project outcomes;student mentoring;leadership;personal responsibility;professional software engineers;up-skilling workshops;internal organization","","","","43","","28 Dec 2020","","","IEEE","IEEE Conferences"
"An Empirical Study on the Requirements Engineering Practices for Agile Software Development","M. Kassab","Eng. Div., Pennsylvania State Univ., Malvern, PA, USA","2014 40th EUROMICRO Conference on Software Engineering and Advanced Applications","20 Nov 2014","2014","","","254","261","Collecting, understanding, and managing requirements are critical aspects in all development methods including agile methods as well. Nevertheless, little contemporary data exists for document actual practices of software professionals for software requirements engineering activities in agile environments. To remedy this deficiency and provide useful data to other researchers we conducted a survey study that drew participants from wide range of professions, industries and geographic locations. We filtered the survey responses according to the Software Development Life Cycle, then we analyzed how agile processes (compared to traditional waterfall model) deal with a paradox of requirements engineering. In this paper, we present this exploratory survey and its quantitative results.","2376-9505","978-1-4799-5795-8","10.1109/SEAA.2014.77","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6928819","Requirements Engineering;agile development;common practices;software development industry;software professionals","Software;Estimation;Industries;Inspection;Software engineering;Business;Schedules","formal specification;formal verification;software prototyping","requirement engineering practices;agile software development;software professionals;software requirement engineering activities;agile environments;geographic locations;software development life cycle","","13","","21","","20 Nov 2014","","","IEEE","IEEE Conferences"
"A game-theoretic approach to harmonization the values of project stakeholders","T. G. Grigorian; S. D. Titov; A. Y. Gayda; V. K. Koshkin","Project Management Department, National Shipbuilding University, Geroev Ukrainy Ave., 9, Mykolaiv, Ukraine; Project Management Department, National Shipbuilding University, Geroev Ukrainy Ave., 9, Mykolaiv, Ukraine; Project Management Department, National Shipbuilding University, Geroev Ukrainy Ave., 9, Mykolaiv, Ukraine; Project Management Department, National Shipbuilding University, Geroev Ukrainy Ave., 9, Mykolaiv, Ukraine","2017 12th International Scientific and Technical Conference on Computer Sciences and Information Technologies (CSIT)","9 Nov 2017","2017","1","","95","100","The problem of project stakeholders values harmonization as a solution of non-cooperative game between two players is stated. The concept of the value balancing operation and the value harmonization process on the basis of bimatrix games are presented. The alternative strategies of project team and stakeholders as players, allowing to typify situations in real projects and reduce the variety of possible behavior into fairly small amount of combinations are presented. The developed model allows to obtain the recommendations for the use of pure and mixed strategies aimed to maximization players' values within Nash equilibrium ensuring the sustainability of project execution and finalization. Further research tasks should be aimed at developing the means for the increase the effectiveness of the payoff matrices building.","","978-1-5386-1639-0","10.1109/STC-CSIT.2017.8098745","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8098745","project management;value;stakeholders' values;value harmonization;bimatrix games","Stakeholders;Project management;Games;Game theory;Predictive models;Organizations","game theory;matrix algebra;project management;sustainable development","game-theoretic approach;project stakeholders values harmonization;value balancing operation;value harmonization process;bimatrix games;alternative strategies;project team;pure strategies;mixed strategies;project execution;finalization;noncooperative game;player value minimization;Nash equilibrium;project execution sustainability;payoff matrices building","","1","","17","","9 Nov 2017","","","IEEE","IEEE Conferences"
"Application of agile method in the enterprise website backstage management system: Practices for extreme programming","L. Liu; Y. Lu","Department of Software Engineering, Shijiazhuang Information Engineering Vocational College, Shijiazhuang, China; Department of Software Engineering, Shijiazhuang Information Engineering Vocational College, Shijiazhuang, China","2012 2nd International Conference on Consumer Electronics, Communications and Networks (CECNet)","17 May 2012","2012","","","2412","2415","When the traditional method lacking in adapting requirement variety, some agile software development methods appears, which flexible development mechanism could control the risk that requirement variety brings. Taking Extreme Programming as an example, this paper introduces ideas, values and process practice rules of agile methods. Extreme Programming is a software development methodology that is agile and based on practice. This paper introduces the features of Extreme Programming and how to practice Extreme Programming in developing management information system, also discuss and study the advantages and disadvantages when applying Extreme Programming in small or middle sized projects with inconstant requirements.","","978-1-4577-1415-3","10.1109/CECNet.2012.6201545","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6201545","Agile Software Development;Extreme Programming;Website backstage Management System","Programming;Testing;Software;Educational institutions;Business;Documentation","formal verification;management information systems;software prototyping;Web sites","agile software development method;flexible development mechanism;requirement variety;risk control;extreme programming;process practice rule;small sized projects;middle sized projects;enterprise Website backstage management system","","","","8","","17 May 2012","","","IEEE","IEEE Conferences"
"Agile Approaches for Cybersecurity Systems, IoT and Intelligent Transportation","Y. M. Tashtoush; D. A. Darweesh; G. Husari; O. A. Darwish; Y. Darwish; L. B. Issa; H. I. Ashqar","Department of Computer Science, Jordan University of Science and Technology, Irbid, Jordan; Department of Computer Science, Jordan University of Science and Technology, Irbid, Jordan; Department of Computer Science, East Tennessee State University, Johnson City, TN, USA; Information Security and Applied Computing, Eastern Michigan University, Ypsilanti, MI, USA; Department of Computer Science, Jordan University of Science and Technology, Irbid, Jordan; Department of Computer Science, Jordan University of Science and Technology, Irbid, Jordan; Precision Systems Inc., Washington, DC, USA","IEEE Access","6 Jan 2022","2022","10","","1360","1375","To adapt to the rapidly increasing vulnerabilities in software products and cyber threats that exploit them, security professionals are actively working with software developers to produce more secure systems. In software development, agile methods are increasingly adopted in critical software projects where security risks are prominent challenges. This adoption stems from the fact that agile methods are highly iterative and support delivering services and products in smaller batches which allows security professionals to seamlessly integrate software development security activities with agile methodologies. In addition, the iterative nature of agile software development encourages frequent inspections, tests, and patching of software systems to mitigate cybersecurity risks and vulnerabilities. Considering the massive growth of the Internet of Things (IoT) and Intelligent Transportation Systems (ITS) products, the challenge of software development while addressing the security and safety concerns of these devices will continue to increase. This paper presents a comprehensive and detailed review of agile software development in the context of IoT, ITS, and their cybersecurity and risk challenges. Furthermore, we provide a systematic comparison of the reviewed literature based on a set of defined criteria. Finally, we provide a broader outlook and an outline for designing future security-enhanced agile software development solutions for IoT and ITS systems.","2169-3536","","10.1109/ACCESS.2021.3136861","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9656744","Agile;cybersecurity;intelligent transportation;IoT;smart vehicle;software engineering","Crystals;Software;Computer security;Programming;Transportation;Adaptation models;Teamwork","configuration management;inspection;intelligent transportation systems;Internet of Things;security of data;software management;software prototyping","software systems;IoT;intelligent transportation systems;cybersecurity systems;software products;software developers;software projects;support delivering services;agile software development;cyber threats;Internet of Things;ITS","","","","116","CCBY","20 Dec 2021","","","IEEE","IEEE Journals"
"The learner experience of student-led international group project work in software engineering","R. McDermott; J. Bass; J. Lalchandani","School of Computing Science and Digital Media, Robert Gordon University, Aberdeen, United Kingdom; School of Computing Science and Digital Media, Robert Gordon University, Aberdeen, United Kingdom; International Institute for Information Technology, Bangalore, India","2014 IEEE Frontiers in Education Conference (FIE) Proceedings","19 Feb 2015","2014","","","1","8","Software development has become increasingly globalized because of technological innovation, the evolution of work and business processes, as well as prevailing educational systems and national policies [1]. This paper addresses the challenges faced when creating realistic opportunities for students to participate in team working on a globally distributed software engineering project. We examine the experience of one set of students who undertook a single semester software development project, the technical objective of which was to create a product using online collaboration tools [2]. The students involved were studying at two widely-separated universities: Robert Gordon University (RGU), UK, and the International Institute for Information Technology, Bangalore (IIIT-B), India. A classroom-based action research approach has been used to evolve and reflect on the project [3]. Detailed student feedback was canvassed using an open-ended questionnaire. The students report favourably on acquisition of employability, collaboration and professional skills. A number of challenges remain in areas of project management, the use of collaborative technology and of scaling the project to larger classes, while retaining a manageable supervision overhead.","2377-634X","978-1-4799-3922-0","10.1109/FIE.2014.7044181","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7044181","international group project;global software engineering;collaborative technology;employability;student experience","Collaboration;Software;Educational institutions;Software engineering;Project management;Information technology;Agile software development","computer aided instruction;computer science education;educational institutions;groupware;project management;software engineering;software management","collaborative technology;project management;classroom-based action research approach;online collaboration tools;semester;globally distributed software engineering project;student-led international group project work","","2","","23","","19 Feb 2015","","","IEEE","IEEE Conferences"
"Applying Continuous Integration for Reducing Web Applications Development Risks","S. Lai; F. Leu","Dept. of Inf. Technol. & Manage., Shih Chien Univ., Taipei, Taiwan; Dept. of Comput. Sci., Tunghai Univ., Taichung, Taiwan","2015 10th International Conference on Broadband and Wireless Computing, Communication and Applications (BWCCA)","3 Mar 2016","2015","","","386","391","In order to project resource manage and time control, large or complex software system need be modularized. Software system is decomposed into subsystems, functional modules and basis components. Finally, all tested components have to integrate to be the complete system. Applying IID (Interactive Incremental Development) mechanism, agile development model becomes the practical method to reduce software project failure rate. Continuous integration (CI) is an IID implementation concept which can effectively reduce software development risk. Web app with high change characteristic is suitable to use agile development model as the development methodology. The paper depth surveys CI operating environment and advantages. Introducing CI concept can make up the development change impacts of Web app. For this, the paper proposes a Web Applications Continuous Integration Procedure (WACIP) to assist the system integration operating. WACIP with CI makes Web app can be deployed quickly, increase stakeholder communication frequency, improve staff morale, and effectively reduce Web app development risks.","","978-1-4673-8315-8","10.1109/BWCCA.2015.54","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7424853","Continuous Integration;agile process;Web app;integration test;development risks","Testing;Software systems;Object oriented modeling;Agile software development;Computer bugs;Analytical models","interactive systems;Internet;project management;resource allocation;risk management;software prototyping","WACIP;Web applications continuous integration procedure;CI operating environment;software project failure rate reduction;agile development model;interactive incremental development mechanism;IID;software system;time control;resource management;Web application development risk reduction","","5","","23","","3 Mar 2016","","","IEEE","IEEE Conferences"
"An Industrial Investigation into Effort Estimation Predictors for Mobile App Development in Agile Processes","A. Altaleb; M. Altherwi; A. Gravell","Imam Mohammad Ibn Saud Is University,Riyadh,KSA; School of Electronics and Computer Science, University of Southampton,Southampton,United Kingdom; School of Electronics and Computer Science, University of Southampton,Southampton,United Kingdom","2020 9th International Conference on Industrial Technology and Management (ICITM)","30 Apr 2020","2020","","","291","296","Effort estimation is essential for all development teams in order to ensure the user's story for the software project is delivered on time, boxed released. The characteristics of mobile apps make app development different from other traditional software. There are many challenges in developing a mobile app that could lead to inaccurate estimation of user stories. Therefore, the aim of this paper is to provide a comprehensive investigation into the factors that affect the accuracy of effort estimation. The effort estimation factors have been collected from previous studies and validated with 20 practitioners across 18 organisations in the development field of mobile applications.","","978-1-7281-4306-4","10.1109/ICITM48982.2020.9080362","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9080362","effort estimation;mobile app;Agile process;development metrics;predictors;planning poker;expert judgment","","mobile computing;project management;software development management;software maintenance;software prototyping","effort estimation predictors;mobile app development;agile processes;development teams;software project;effort estimation factors;mobile applications","","4","","17","","30 Apr 2020","","","IEEE","IEEE Conferences"
"An agile learning design method for open educational resources","M. M. Arimoto; E. F. Barbosa; L. Barroca","University of São Paulo (ICMC/USP), São Carlos, São Paulo, Brazil; University of São Paulo (ICMC/USP), São Carlos, São Paulo, Brazil; The Open University (UK), Milton Keynes, United Kingdom","2015 IEEE Frontiers in Education Conference (FIE)","7 Dec 2015","2015","","","1","9","Open Educational Resources (OERs) have provided new perspectives for the construction, access and sharing of knowledge. While OERs can bring benefits to, and impact on education, there are still challenges to their widespread production and use. One of the challenges faced by developers (including educators and practitioners) of OERs has been how to produce quality and relevant learning materials, capable of being reused and adapted in different learning situations. In our work we propose and define an agile learning design method to support the design and creation of OERs. It is based on agile practices from software engineering and on practices of learning design from the OULDI project at the UK Open University. We illustrate our ideas with an experiment that validates the proposed method through its application in the design and creation of an OER in the software testing domain. The results obtained so far have shown that the method is feasible and effective for the design and creation of OERs.","","978-1-4799-8454-1","10.1109/FIE.2015.7344334","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7344334","open educational resources;learning design;agile practices","Collaboration;Software;Context;Computer architecture;Design methodology;Open Educational Resources","computer aided instruction;computer science education;software prototyping","agile learning design;open educational resources;software engineering;OULDI project;UK Open University;software testing domain","","4","","29","","7 Dec 2015","","","IEEE","IEEE Conferences"
"Methods and tools of project-operational management of a machine-building enterprise","A. V. Lopota; A. V. Tsyrkov; G. A. Tsyrkov","The Russian State Scientific Center for Robotics and Technical Cybernetics, Saint Petersburg, Russia; Moscow Aviation Institute (National Research University), Moscow, Russia; Moscow Aviation Institute (National Research University), Moscow, Russia","2017 International Conference "Quality Management,Transport and Information Security, Information Technologies" (IT&QM&IS)","30 Oct 2017","2017","","","544","547","Principles of creation and main mechanisms of implementation of a method of project and operational management for machine-building enterprises are considered. The method uses the model of the combined workflow determining causes and effect relationships between processes at stages of a lifecycle of creation of the complex technical system. All processes connected to development and manufacture are considered in the uniform project and production environment in which the process of creation of a product is implemented. The target function of the system created on the basis of a method is reduction of a cycle of creation of new products and minimization of project and production losses.","","978-1-5386-0703-9","10.1109/ITMQIS.2017.8085882","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8085882","product life cycle;complex technical systems;project operations management;design and manufacturing;simultaneous planning and optimization;modeling process;PDM;PLM;ERP;APS","Planning;Process control;Optimization;Logistics;Minimization","machinery production industries;production engineering computing;project management;workflow management software","cause-effect relationships;production loss minimization;product creation cycle reduction;project loss minimization;combined workflow;production environment;uniform project;complex technical system;machine-building enterprise;project-operational management;tools","","5","","7","","30 Oct 2017","","","IEEE","IEEE Conferences"
"Agile development spikes applied to computer science education","C. J. Woodward; J. Montgomery; R. Vasa; A. Cain","Swinburne University of Technology, Faculty of Information and Communication Technologies, Hawthorn, Victoria, Australia; Research School of Computer Science, Australian National University, Canberra, Australia; Swinburne University of Technology, Faculty of Information and Communication Technologies, Hawthorn, Victoria, Australia; Swinburne University of Technology, Faculty of Information and Communication Technologies, Hawthorn, Victoria, Australia","Proceedings of 2013 IEEE International Conference on Teaching, Assessment and Learning for Engineering (TALE)","7 Nov 2013","2013","","","699","704","Spikes are an agile software development technique used by software teams to investigate, close gaps and reduce risk. Computer science education can benefit from the application of agile techniques. In this paper we document our definition of spikes, adapted from agile software development practice, applied to computer science education across a number of different units. Our view is that spikes align well with many educational objectives. We also reflect on our educational experiences to present guidance on how and why spikes might be applied, including specific benefits, limitations and drawbacks.","","978-1-4673-6355-6","10.1109/TALE.2013.6654527","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6654527","computer science;education;spikes;agile software development","Industries;Software;Context;Games;Computer science education;Programming","computer science education;software prototyping","computer science education;agile software development technique;software teams;agile development spikes;educational objectives;educational experiences","","2","","12","","7 Nov 2013","","","IEEE","IEEE Conferences"
"Agile Values, Innovation and the Shortage of Women Software Developers","K. H. Judy",NA,"2012 45th Hawaii International Conference on System Sciences","9 Feb 2012","2012","","","5279","5288","The percentage of women software developers in the U.S. has declined from 42% in 1987 to less than 25% today. This is in a software/internet marketplace where women are online in equal numbers to men, directly or indirectly influence 61% of consumer electronics purchases, generate 58% of online dollars, and represent 42% of active gamers. Women avoid careers in software due to hostile environments, unsustainable pace, diminished sense of purpose, disadvantages in pay, and lack of advancement, peers or mentors. Agile Software Development is founded upon values that challenge such dysfunction in order to build self-organizing, collaborative and highly productive teams. In a high functioning Agile practice, developers engage each other, product owners and sponsors in a shared concern for quality, predictability and meeting the needs of end users. Can Agile values and practice drive changes in the workplace to better attract and retain women software developers?","1530-1605","978-0-7695-4525-7","10.1109/HICSS.2012.92","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6149534","Agile Development;Software development;Information technology;Scrum;gender;values;STEM","Software;Engineering profession;Programming;Internet;Industries;Educational institutions;Employment","gender issues;innovation management;software prototyping","agile values;innovation;women software developer shortage;US;software-Internet marketplace;consumer electronics purchase;online dollar generation;active gamers;agile software development","","5","","66","","9 Feb 2012","","","IEEE","IEEE Conferences"
"Incorporation of usability evaluation methods in agile software model","S. M. Butt; A. Onn; M. M. Butt; N. T. Inam; S. M. Butt","Department of Computer System & Technology, Universiti Malaya, Malaysia; Department of Management and Human Resource, Universiti Tenaga Nasional, Malaysia; Computer and Software Engineering Department, Bahria University Islamabad, Pakistan; Department of Computer sciences, Preston University, Islamabad, Pakistan; Department of Management Science, Hamdard University, Islamabad Campus, Pakistan","17th IEEE International Multi Topic Conference 2014","30 Apr 2015","2014","","","193","199","Majority of agile projects currently involve interactive user interface designs, which can only be possible by following UCD in agile software model. But the integration of UCD is not clear in the current agile models. Both Agile models and UCD have iterative nature but agile models focus on coding and development of software; whereas, UCD focuses on user interface of the software. Similarly, both of them have testing features where the agile model involves automated tested code while UCD involves an expert or a user to test the user interface. In this paper, a new agile usability model is presented and tested in companies and are presented. Key results from these projects clearly shows: the proposed agile model incorporates usability evaluation methods, improve the relationship between usability experts to work with agile software experts; in addition, allows agile developers to incorporate the result from UCD into subsequent interactions.","","978-1-4799-5755-2","10.1109/INMIC.2014.7097336","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7097336","","Usability;Testing;Lead","ergonomics;interactive systems;software prototyping;user centred design;user interfaces","agile software expert;agile usability model;UCD;user centered design;interactive user interface design;agile software model;usability evaluation method","","2","","26","","30 Apr 2015","","","IEEE","IEEE Conferences"
